player_id,Name,Sex,Team,NOC,Year,Season,City,Sport,Event,Medal,medal_score
78295,Robert Gerhardt,M,United States,USA,1924,Summer,Paris,Rowing,Rowing Men's Coxed Fours,Bronze,1
78304,Andrija Geri,M,Serbia and Montenegro,SCG,1996,Summer,Atlanta,Volleyball,Volleyball Men's Volleyball,Bronze,1
78305,Andrija Geri,M,Serbia and Montenegro,SCG,2000,Summer,Sydney,Volleyball,Volleyball Men's Volleyball,Gold,3
78314,Marco Gerini,M,Italy,ITA,1996,Summer,Atlanta,Water Polo,Water Polo Men's Water Polo,Bronze,1
78316,Gilbert Grints,M,France,FRA,1924,Summer,Paris,Rugby,Rugby Men's Rugby,Silver,2
78322,Andreas Geritzer,M,Austria,AUT,2004,Summer,Athina,Sailing,Sailing Mixed One Person Dinghy,Silver,2
78328,Ernst Gerlach,M,East Germany,GDR,1980,Summer,Moskva,Handball,Handball Men's Handball,Gold,3
78339,Irina Gerlits,F,Soviet Union,URS,1988,Summer,Seoul,Basketball,Basketball Women's Basketball,Bronze,1
78340,Irina Gerlits,F,Unified Team,EUN,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,Gold,3
78363,Silviya Germanova,F,Bulgaria,BUL,1980,Summer,Moskva,Basketball,Basketball Women's Basketball,Silver,2
78370,Manfred Germar,M,Germany,GER,1956,Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze,1
78378,Ezio Germignani,M,"Marinai della nave da guerra ""Varese""",ITA,1906,Summer,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Bronze,1
78382,Marie Germot,M,France,FRA,1906,Summer,Athina,Tennis,Tennis Men's Singles,Silver,2
